File,ESLint Rule,Mapped CWE,Severity,Message
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,security/detect-unsafe-regex,CWE-400,Warning,Unsafe Regular Expression
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,security/detect-unsafe-regex,CWE-400,Warning,Unsafe Regular Expression
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,security/detect-unsafe-regex,CWE-400,Warning,Unsafe Regular Expression
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,security/detect-unsafe-regex,CWE-400,Warning,Unsafe Regular Expression
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,security/detect-object-injection,CWE-915,Warning,Function Call Object Injection Sink
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,security/detect-object-injection,CWE-915,Warning,Function Call Object Injection Sink
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,security/detect-object-injection,CWE-915,Warning,Function Call Object Injection Sink
/home/set-iitgn-vm/Desktop/Stt_lab2/vuln_lab/BPB-Worker-Panel/src/assets/panel/script.js,no-undef,CWE-Other,Error,'alert' is not defined.
